127.0.0.1, 2018-05-24 15:49:42, GET, /, HTTP/1.1, 303, 0.002000
127.0.0.1, 2018-05-24 15:49:42, GET, /welcome/default/index, HTTP/1.1, 200, 0.439000
127.0.0.1, 2018-05-24 15:49:42, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.016000
127.0.0.1, 2018-05-24 15:49:42, GET, /welcome/static/css/web2py-bootstrap4.css, HTTP/1.1, 200, 0.008000
127.0.0.1, 2018-05-24 15:49:42, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.008000
127.0.0.1, 2018-05-24 15:49:42, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.007000
127.0.0.1, 2018-05-24 15:49:42, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.006000
127.0.0.1, 2018-05-24 15:49:42, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.006000
127.0.0.1, 2018-05-24 15:49:42, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.004000
127.0.0.1, 2018-05-24 15:49:42, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.004000
127.0.0.1, 2018-05-24 15:49:42, GET, /welcome/static/js/web2py-bootstrap4.js, HTTP/1.1, 200, 0.005000
127.0.0.1, 2018-05-24 15:49:42, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.005000
127.0.0.1, 2018-05-24 15:49:43, GET, /welcome/static/images/twitter.png, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-05-24 15:49:43, GET, /welcome/static/images/facebook.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-05-24 15:49:43, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-05-24 15:49:43, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.009000
127.0.0.1, 2018-05-24 15:51:02, GET, /welcome/default/user/login, HTTP/1.1, 200, 0.027000
127.0.0.1, 2018-05-24 15:51:02, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.006000
127.0.0.1, 2018-05-24 15:51:02, GET, /welcome/static/css/web2py-bootstrap4.css, HTTP/1.1, 304, 0.012000
127.0.0.1, 2018-05-24 15:51:02, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.013000
127.0.0.1, 2018-05-24 15:51:02, GET, /welcome/static/js/jquery.js, HTTP/1.1, 304, 0.011000
127.0.0.1, 2018-05-24 15:51:02, GET, /welcome/static/css/calendar.css, HTTP/1.1, 304, 0.003000
127.0.0.1, 2018-05-24 15:51:02, GET, /welcome/static/js/calendar.js, HTTP/1.1, 304, 0.003000
127.0.0.1, 2018-05-24 15:51:02, GET, /welcome/static/js/web2py.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2018-05-24 15:51:02, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2018-05-24 15:51:02, GET, /welcome/static/js/share.js, HTTP/1.1, 304, 0.001000
, 0.002000
127.0.0.1, 2018-05-24 15:51:02, GET, /welcome/static/images/twitter.png, HTTP/1.1, 304, 0.001000
127.0.0.1, 2018-05-24 15:51:02, GET, /welcome/static/images/facebook.png, HTTP/1.1, 304, 0.002000
127.0.0.1, 2018-05-24 15:51:02, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 304, 0.002000
127.0.0.1, 2018-05-24 15:51:09, GET, /welcome/default/index, HTTP/1.1, 200, 0.026000
127.0.0.1, 2018-05-24 15:52:01, GET, /admin/default/site, HTTP/1.1, 303, 0.119000
127.0.0.1, 2018-05-24 15:52:02, GET, /admin/default/index, HTTP/1.1, 200, 0.031000
127.0.0.1, 2018-05-24 15:52:02, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2018-05-24 15:52:11, POST, /admin/default/index, HTTP/1.1, 303, 0.023000
127.0.0.1, 2018-05-24 15:52:12, GET, /admin/default/site, HTTP/1.1, 200, 0.049000
127.0.0.1, 2018-05-24 15:52:12, POST, /admin/default/check_version, HTTP/1.1, 200, 0.492000
127.0.0.1, 2018-05-24 15:52:12, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-05-24 15:52:47, POST, /admin/default/site, HTTP/1.1, 303, 0.202000
127.0.0.1, 2018-05-24 15:52:47, GET, /admin/default/design/helloWorldism, HTTP/1.1, 200, 0.201000
127.0.0.1, 2018-05-24 15:52:47, GET, /admin/static/_2.16.1/images/search.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-05-24 15:52:47, GET, /admin/static/_2.16.1/images/delete_icon.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-05-24 15:52:47, GET, /admin/static/_2.16.1/images/test_icon.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-05-24 15:52:47, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-05-24 15:53:20, GET, /helloWorldism, HTTP/1.1, 200, 0.237000
127.0.0.1, 2018-05-24 15:53:20, GET, /helloWorldism/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.017000
127.0.0.1, 2018-05-24 15:53:20, GET, /helloWorldism/static/css/calendar.css, HTTP/1.1, 200, 0.004000
127.0.0.1, 2018-05-24 15:53:20, GET, /helloWorldism/static/css/web2py-bootstrap4.css, HTTP/1.1, 200, 0.005000
127.0.0.1, 2018-05-24 15:53:20, GET, /helloWorldism/static/js/jquery.js, HTTP/1.1, 200, 0.008000
127.0.0.1, 2018-05-24 15:53:20, GET, /helloWorldism/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.007000
127.0.0.1, 2018-05-24 15:53:20, GET, /helloWorldism/static/js/calendar.js, HTTP/1.1, 200, 0.006000
127.0.0.1, 2018-05-24 15:53:20, GET, /helloWorldism/static/js/web2py.js, HTTP/1.1, 200, 0.005000
127.0.0.1, 2018-05-24 15:53:20, GET, /helloWorldism/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.002000
00
